	family	mt	order	xt
651	Eumastacoidae	10	Orthoptera	45
652	Pyrgomorphidae	10	Orthoptera	90
653	Rhaphidophoridae	10	Orthoptera	30
654	Austroperlidae	10	Plecoptera	35
655	Perlidae	10	Plecoptera	50
656	Taeniopterygidae	10	Plecoptera	25
657	Limnocentropodidae	10	Trichoptera	12
658	Molannidae	10	Trichoptera	17
659	Tanaoceridae	10.3	Orthoptera	25
660	Nesameletidae	10.5	Ephemeroptera	16.5
661	Rallidentidae	10.5	Ephemeroptera	12
662	Amphizoidae	11	Coleoptera	16
663	Apachyidae	11	Dermaptera	25
664	Tanyderidae	11	Diptera	23
665	Euthyplociidae	11	Ephemeroptera	16
666	Dudgeoneidae	11	Lepidoptera	29
667	Endromidae	11	Lepidoptera	27
668	Hyblaeidae	11	Lepidoptera	22
669	Pterolonchidae	11	Lepidoptera	12
670	Sphingidae	11	Lepidoptera	94
671	Choristidae	11	Mecoptera	14
672	Pneumoridae	11.5	Orthoptera	100
673	Ithyceridae	12	Coleoptera	15
674	Behningiidae	12	Ephemeroptera	18
675	Polymitarcyidae	12	Ephemeroptera	35
676	Saturniidae	12	Lepidoptera	117
677	Lentulidae	12	Orthoptera	25
678	Timematidae	12	Phasmatodea	25
679	Oeconesidae	12	Trichoptera	16
680	Phryganeidae	12	Trichoptera	28
681	Lepidotrichidae	12	Zygentoma	14
682	Ametropodidae	13	Ephemeroptera	15
683	Coloburiscidae	13	Ephemeroptera	18
684	Dipteromimidae	13	Ephemeroptera	23.5
685	Gasteruptiidae	13	Hymenoptera	40
686	Epicopeiidae	13	Lepidoptera	38
687	Sialidae	13	Megaloptera	18
688	Stenotritidae	14	Hymenoptera	20.5
689	Bittacidae	14	Mecoptera	34
690	Corydiidae	15	Blattodea	24
691	Eulichadidae	15	Coleoptera	25
692	Pleocomidae	15	Coleoptera	45
693	Palingeniidae	15	Ephemeroptera	35
694	Nepidae	15	Hemiptera	45
695	Tessaratomidae	15	Hemiptera	40
696	Hedylidae	15	Lepidoptera	27
697	Nemopteridae	15	Neuroptera	35
698	Osmylidae	15	Neuroptera	30
699	Isostictidae	15	Odonata	40
700	Eustheniidae	15	Plecoptera	35
701	Ameletopsidae	15.5	Ephemeroptera	22
702	Chelisochidae	16	Dermaptera	20
703	Coenagrionidae	16	Odonata	60
704	Scopuridae	16	Plecoptera	25
705	Libellulidae	17	Odonata	63
706	Xyronotidae	17	Orthoptera	30
707	Prophalangopsidae	17	Orthoptera	30
708	Diapheromeridae	17.5	Phasmatodea	140
709	Pseudophasmatoidea	17.5	Phasmatodea	250
710	Blattidae	18	Blattodea	45
711	Passalidae	18	Coleoptera	80
712	Labiduridae	18	Dermaptera	80
713	Cimbicidae	18	Hymenoptera	25
714	Sphecidae	18	Hymenoptera	55
715	Brahmaeidae	18	Lepidoptera	66
716	Nymphidae	18	Neuroptera	40
717	Romaleidae	18	Orthoptera	80
718	Ichthybotidae	19	Ephemeroptera	22
719	Sematuridae	19	Lepidoptera	44
720	Phloeidae	20	Hemiptera	30
721	Siricidae	20	Hymenoptera	40
722	Corydalidae	20	Megaloptera	80
723	Mantispidae	20	Neuroptera	35
724	Anostostomatidae	20	Orthoptera	80
725	Gryllotalpidae	20	Orthoptera	40
726	Aschiphasmatidae	20	Phasmatodea	60
727	Heteropterygidae	20	Phasmatodea	150
728	Ithonidae	21	Neuroptera	40
729	Hemiphlebiidae	23	Odonata	25
730	Cryptocercidae	24	Blattodea	29
731	Phylliidae	24	Phasmatodea	90
732	Proscopiidae	25	Orthoptera	165
733	Diamphipnoidae	25	Plecoptera	45
734	Gomphidae	25.5	Odonata	90
735	Chlorocyphidae	26	Odonata	30
736	Euphaeidae	26	Odonata	38
737	Carthaeidae	28	Lepidoptera	37
738	Corduliidae	28	Odonata	68
739	Trigonopterygidae	29	Orthoptera	40
740	Pelecinidae	30	Hymenoptera	60
741	Polythoridae	30	Odonata	40
742	Protoneuridae	30	Odonata	35
743	Pamphagidae	30	Orthoptera	90
744	Stenopelmatidae	30	Orthoptera	50
745	Trictenotomidae	32	Coleoptera	80
746	Peltoperlidae	34	Plecoptera	49
747	Polystoechotidae	35	Neuroptera	75
748	Synlestidae	35	Odonata	60
749	Cylindrachetidae	35	Orthoptera	75
750	Chorismagrionidae	38	Odonata	40
751	Pteronarcyidae	38	Plecoptera	63
752	Ascalaphidae	40	Neuroptera	80
753	Myrmeleontidae	40	Neuroptera	80
754	Lestidae	40	Odonata	75
755	Megapodagrionidae	40	Odonata	75
756	Platycnemididae	40	Odonata	50
757	Platystictidae	40	Odonata	50
758	Agathemeridae	40	Phasmatodea	70
759	Bacillidae	40	Phasmatodea	110
760	Calopterygidae	45	Odonata	60
761	Diphlebiidae	45	Odonata	55
762	Epiophlebiidae	48	Odonata	60
763	Aeshnidae	50	Odonata	100
764	Perilestidae	50	Odonata	55
765	Phasmatidae	50	Phasmatodea	357
766	Petaluridae	54	Odonata	88
767	Cordulegastridae	55	Odonata	88
768	Macromiidae	56	Odonata	91
769	Austropetaliidae	57	Odonata	86
770	Neopetaliidae	57	Odonata	58
771	Chlorogomphidae	60	Odonata	78
772	Pseudostigmatidae	80	Odonata	120
773	Pseudolestidae		Odonata	
