	family	mt	order	xt
72	Ptinidae	1	Coleoptera	5
73	Scarabaeidae	1	Coleoptera	160
74	Tenebrionidae	1	Coleoptera	50
75	Trogossitidae	1	Coleoptera	50
76	Entomobryidae	1	Collembola	10
77	Asteiidae	1	Diptera	5
78	Braulidae	1	Diptera	1.7
79	Carnidae	1	Diptera	3
80	Cecidomyiidae	1	Diptera	8
81	Ceratopogonidae	1	Diptera	6
82	Chironomidae	1	Diptera	13
83	Chloropidae	1	Diptera	7
84	Drosophilidae	1	Diptera	7
85	Hybotidae	1	Diptera	9
86	Milichiidae	1	Diptera	7
87	Perissommatidae	1	Diptera	2
88	Psychodidae	1	Diptera	5
89	Scenopinidae	1	Diptera	8.5
90	Sciaridae	1	Diptera	11
91	Simuliidae	1	Diptera	5.5
92	Aleyrodoidea	1	Hemiptera	4
93	Aphidoidea	1	Hemiptera	8
94	Caliscelidae	1	Hemiptera	5
95	Psylloidea	1	Hemiptera	8
96	Veliidae	1	Hemiptera	10
97	Agaonidae	1	Hymenoptera	3
98	Aulacidae	1	Hymenoptera	20
99	Bethylidae	1	Hymenoptera	20
100	Cynipidae	1	Hymenoptera	8
101	Eulophidae	1	Hymenoptera	5
102	Eupelmidae	1	Hymenoptera	8
103	Formicidae	1	Hymenoptera	33
104	Maamingidae	1	Hymenoptera	2
105	Megaspilidae	1	Hymenoptera	5
106	Pteromalidae	1	Hymenoptera	4
107	Torymidae	1	Hymenoptera	15
108	Blastobasidae	1	Lepidoptera	11
109	Epipyropidae	1	Lepidoptera	13
110	Gelechiidae	1	Lepidoptera	12
111	Heliozelidae	1	Lepidoptera	3
112	Micropterigidae	1	Lepidoptera	3
113	Nepticulidae	1	Lepidoptera	2
114	Opostegidae	1	Lepidoptera	6
115	Liposcelididae	1	Psocoptera	1.5
116		1	Siphonaptera	10
117		1	Strepsiptera	7.5
118	Thripidae	1	Thysanoptera	3
119	Discolomatidae	1.1	Coleoptera	8
120	Anthomyzidae	1.1	Diptera	3.4
121	Menoponidae	1.1	Phthiraptera	6
122	Psoquillidae	1.1	Psocoptera	2
123	Philopteridae	1.12	Phthiraptera	9.72
124	Alexiidae	1.2	Coleoptera	1.7
125	Hydraenidae	1.2	Coleoptera	3
126	Languriidae	1.2	Coleoptera	25
127	Melandryidae	1.2	Coleoptera	19
128	Phalacridae	1.2	Coleoptera	4.5
