Order	Family	MVZDatabase	Species	Asymmetry	Ellipticity	AvgLength (cm)	Number of images	Number of eggs
ACCIPITRIFORMES	Cathartidae	Gymnogyps californianus	Gymnogyps californianus	0.0991	0.6810	11.8946	3	3
ACCIPITRIFORMES	Pandionidae	Pandion haliaetus	Pandion haliaetus	0.1135	0.3446	6.2316	76	229
ACCIPITRIFORMES	Sagittariidae	Sagittarius serpentarius	Sagittarius serpentarius	0.2731	0.4811	8.9445	1	1
ANSERIFORMES	Anatidae	Aix sponsa	Aix sponsa	0.0700	0.3415	5.2033	6	43
ANSERIFORMES	Anatidae	Anas acuta	Anas acuta	0.1079	0.4264	5.5042	32	243
ANSERIFORMES	Anatidae	Anas americana	Anas americana	0.0985	0.3903	5.1476	2	17
ANSERIFORMES	Anatidae	Anas bahamensis	Anas bahamensis	0.1027	0.3823	5.1167	2	15
ANSERIFORMES	Anatidae	Anas clypeata	Anas clypeata	0.0976	0.4350	5.5683	6	48
ANSERIFORMES	Anatidae	Anas crecca	Anas crecca	0.0905	0.3759	4.5389	9	79
ANSERIFORMES	Anatidae	Anas cyanoptera	Anas cyanoptera	0.0867	0.3809	4.7390	20	189
ANSERIFORMES	Anatidae	Anas discors	Anas discors	0.0881	0.3517	4.5562	4	35
ANSERIFORMES	Anatidae	Anas fulvigula	Anas fulvigula	0.0464	0.4041	5.8302	1	9
ANSERIFORMES	Anatidae	Anas penelope	Anas penelope	0.1109	0.3930	5.3517	2	17
ANSERIFORMES	Anatidae	Anas platyrhynchos	Anas platyrhynchos	0.0980	0.4012	5.7726	19	161
ANSERIFORMES	Anatidae	Anas poecilorhyncha	Anas poecilorhyncha	0.0385	0.2748	5.2117	1	9
ANSERIFORMES	Anatidae	Anas rubripes	Anas rubripes	0.0679	0.4191	6.0883	1	6
ANSERIFORMES	Anatidae	Anas strepera	Anas strepera	0.0729	0.3895	5.4852	7	65
ANSERIFORMES	Anatidae	Anser albifrons	Anser albifrons	0.1382	0.5313	7.5785	3	9
ANSERIFORMES	Anatidae	Anser brachyrhynchus	Anser brachyrhynchus	0.1121	0.5340	8.3231	2	12
ANSERIFORMES	Anatidae	Aythya affinis	Aythya affinis	0.0999	0.4449	5.6243	7	59
ANSERIFORMES	Anatidae	Aythya americana	Aythya americana	0.0752	0.4246	5.2676	12	104
ANSERIFORMES	Anatidae	Aythya collaris	Aythya collaris	0.0447	0.4049	5.5571	2	18
ANSERIFORMES	Anatidae	Aythya marila	Aythya marila	0.0898	0.4481	6.2056	3	27
ANSERIFORMES	Anatidae	Aythya valisineria	Aythya valisineria	0.0803	0.4413	6.2596	3	26
ANSERIFORMES	Anatidae	Branta bernicla	Branta bernicla	0.1340	0.5066	6.9952	5	26
ANSERIFORMES	Anatidae	Branta canadensis	Branta canadensis	0.1202	0.5178	7.7142	7	37
ANSERIFORMES	Anatidae	Bucephala albeola	Bucephala albeola	0.1011	0.4011	4.9665	1	14
ANSERIFORMES	Anatidae	Bucephala clangula	Bucephala clangula	0.0966	0.3842	6.0448	3	28
ANSERIFORMES	Anatidae	Bucephala islandica	Bucephala islandica	0.1291	0.4044	6.0698	3	23
ANSERIFORMES	Anatidae	Chen canagicus	Chen canagica	0.1332	0.5027	7.6203	6	25
ANSERIFORMES	Anatidae	Chloephaga hybrida	Chloephaga hybrida	0.1963	0.5124	8.3002	3	9
ANSERIFORMES	Anatidae	Chloephaga picta	Chloephaga picta	0.1533	0.5221	8.0225	3	7
ANSERIFORMES	Anatidae	Clangula hyemalis	Clangula hyemalis	0.1272	0.3962	5.2295	10	77
ANSERIFORMES	Anatidae	Cygnus atratus	Cygnus atratus	0.1612	0.6657	9.7472	1	5
ANSERIFORMES	Anatidae	Cygnus buccinator	Cygnus buccinator	0.0354	0.5479	11.3313	1	2
ANSERIFORMES	Anatidae	Cygnus columbianus	Cygnus columbianus	0.0933	0.6039	9.1690	4	19
ANSERIFORMES	Anatidae	Cygnus cygnus	Cygnus cygnus	0.1225	0.5273	11.6695	1	1
ANSERIFORMES	Anatidae	Cygnus olor	Cygnus olor	0.0935	0.5440	11.4329	2	5
ANSERIFORMES	Anatidae	Dendrocygna bicolor	Dendrocygna bicolor	0.0874	0.3138	5.1008	5	39
ANSERIFORMES	Anatidae	Dendrocygna viduata	Dendrocygna viduata	0.1009	0.3770	5.0639	1	13
ANSERIFORMES	Anatidae	Histrionicus histrionicus	Histrionicus histrionicus	0.1180	0.3655	5.6550	5	26
ANSERIFORMES	Anatidae	Melanitta fusca	Melanitta fusca	0.1715	0.4803	7.1403	3	16
ANSERIFORMES	Anatidae	Melanitta nigra	Melanitta nigra	0.2068	0.5117	6.5706	1	5
ANSERIFORMES	Anatidae	Mergus merganser	Mergus merganser	0.0674	0.4558	6.5418	1	8
ANSERIFORMES	Anatidae	Mergus serrator	Mergus serrator	0.1235	0.4837	6.5329	5	41
ANSERIFORMES	Anatidae	Oxyura jamaicensis	Oxyura jamaicensis	0.0802	0.3658	6.2467	11	81
ANSERIFORMES	Anatidae	Somateria mollissima	Somateria mollissima	0.1654	0.4967	7.3276	7	42
ANSERIFORMES	Anatidae	Somateria spectabilis	Somateria spectabilis	0.1750	0.5281	7.3883	3	14
ANSERIFORMES	Anatidae	Tachyeres patochonicus	Tachyeres patachonicus	0.1137	0.4948	8.6463	1	1
