in_egg_database	name	rank	order	semiaquatic_riparian	in_water	combined	references	handbook_of_zoology_vol_1_3	williams1992aquatic	wichard2002biological	jach1998annotated	JohannsenOAOskarAugustus1934Ad	additional_notes										
FALSE	Cephalochetus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Ceratopogonidae	family	Diptera	SOME	FALSE	SOME	1976Mi, wichard2002biological			mostly aquatic			breed in sandy muddy areas										
FALSE	Chalcosyrphus	subfamily	Diptera	TRUE	FALSE	TRUE	JohannsenOAOskarAugustus1934Ad					riparian											
TRUE	Chaoboridae	family	Diptera	FALSE	TRUE	TRUE	wichard2002biological			fully aquatic													
FALSE	Chilosinae	subfamily	Diptera	TRUE	FALSE	TRUE	JohannsenOAOskarAugustus1934Ad					riparian											
TRUE	Chironomidae	family	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
TRUE	Chrysomelinae	subfamily	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				phytophilous		some										
TRUE	Chrysops	genus	Diptera	FALSE	FALSE	FALSE	JohannsenOAOskarAugustus1934Ad					overhanging water											
FALSE	Cicindela_anchoralis	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Clinocera	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Clivina	genus	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Coelopidae	family	Diptera	TRUE	FALSE	TRUE	mccafferty1983aquatic, williams1992aquatic		listed in table of aquatic insects				riparian										
TRUE	Cordulegastridae	family	Odonata	TRUE	FALSE	TRUE	williams1992aquatic, wichard2002biological		listed in table of aquatic insects	eggs laid in stream soil													
TRUE	Corduliidae	family	Odonata	SOME	SOME	TRUE	wichard2002biological			eggs laid in or near water													
TRUE	Corixidae	family	Hemiptera	FALSE	TRUE	TRUE	williams1992aquatic, wichard2002biological		listed in table of aquatic insects	fully aquatic													
TRUE	Culicidae	family	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic (gelatinous masses)											
FALSE	Dacrila_fallax	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Deinopsis_erosa	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Deleaster	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Deubelia_picina	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Deuterophlebiidae	family	Diptera	FALSE	TRUE	TRUE	JohannsenOAOskarAugustus1934Ad					aquatic											
FALSE	Dianous	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Diaulota	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Dicranthus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				phytophilous												
FALSE	Diglotta	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Dixidae	family	Diptera	FALSE	TRUE	TRUE	wichard2002biological			fully aquatic													
FALSE	Dochmonota_clancula	species	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Donaciinae	subfamily	Coleoptera	FALSE	FALSE	FALSE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	associated with aquatic plants			phytophilous												
FALSE	Drasterius	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Dryopidae	family	Coleoptera	FALSE	FALSE	FALSE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	few aquatic (not in our dataset), riparian, most terrestrial			true water beetles (larvae not aquatic)												
TRUE	Dynastinae	subfamily	Coleoptera	FALSE	FALSE	FALSE	jach1998annotated				facultative water beetle												
FALSE	Dysanabatium	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
FALSE	Dyschirius	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Dytiscidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	eggs aquatic (with few exceptions), endophytic eggs laid in Laccophilinae, Ilybius, Hydrovatus, Dytiscinae, few sepecies with eggs outside of water (Acillus and a few Agabus).			true water beetles (few terrestrial)												
TRUE	Dytiscinae	tribe	Coleoptera	FALSE	FALSE	FALSE	2010CBV2, 2014CbV3, 2016Cbm	eggs laid in water plants															
TRUE	Elaphrus	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
TRUE	Elmidae	family	Coleoptera	FALSE	TRUE	TRUE	2010CBV2, 2014CbV3, 2016Cbm, jach1998annotated	eggs laid in water on wood or stones			true water beetles												
FALSE	Enallagium	genus	Coleoptera	TRUE	FALSE	TRUE	jach1998annotated				riparian												
