in_egg_database	original_name	name	rank	order	parasitoid	internal	conflict_across_sources	references	eggleton1992insect	noyes1989chalcidoidea	pennacchio2006evolution	gauld1988evolutionary	noyes2003universal
TRUE	Encyrtidae	Encyrtidae	family	Hymenoptera	SOME	SOME	TRUE	noyes1989chalcidoidea, noyes2003universal		most endoparasitic, some predatory			all endoparasitic
FALSE	Endaphis perfidus	Endaphis_perfidus	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	endoparasiticpsylla agilis	Endopsylla_agilis	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	endoparasiticpsylla endoparasiticgena	Endopsylla_endogena	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
FALSE	endoparasiticpsyllagregaria	Endopsylla_gregaria	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Entedoninae	Entedoninae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	noyes2003universal					all endoparasitic
TRUE	Eucharitidae	Eucharitidae	family	Hymenoptera	TRUE	SOME	FALSE	eggleton1992insect, noyes2003universal	some ectoparasitic				all endoparasitic or ectoparasitic, all eggs laid externally
TRUE	Euderinae	Euderinae	subfamily	Hymenoptera	FALSE	SOME	FALSE	noyes1989chalcidoidea, noyes2003universal		ectoparasitic			some endoparasitic, a few ectoparasitic
TRUE	Eulophidae	Eulophidae	family	Hymenoptera	SOME	SOME	FALSE	eggleton1992insect, noyes1989chalcidoidea, noyes2003universal	endoparasitic, kleptoparasitic, endoparasiticphytic	most endoparasitic, some ectoparasitic, some phytophagous			endoparasitic and ectoparasitic
TRUE	Eulophinae	Eulophinae	subfamily	Hymenoptera	TRUE	FALSE	FALSE	noyes1989chalcidoidea, noyes2003universal		ectoparasitic			all ectoparasitic
TRUE	Eupelmidae	Eupelmidae	family	Hymenoptera	TRUE	SOME	FALSE	noyes1989chalcidoidea, noyes2003universal		most ectoparasitic, some endoparasitic			most endoparasitic, some ectoparasitic
TRUE	Euphorinae	Euphorinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
FALSE	Eurytoma serratulae	Eurytoma_serratulae	species	Hymenoptera	TRUE	TRUE	FALSE	noyes2003universal					all endoparasitic
TRUE	Eurytomidae	Eurytomidae	family	Hymenoptera	SOME	SOME	FALSE	eggleton1992insect, noyes1989chalcidoidea, noyes2003universal	some kleptoparasitic, endoparasiticphytic	all phytophagous, predatory			most phytophagous or entomophagous, a few endoparasitic
TRUE	Evaniidae	Evaniidae	family	Hymenoptera	FALSE	FALSE	FALSE	pennacchio2006evolution			all predatory		
TRUE	Evanioidea	Evanioidea	superfamily	Hymenoptera	SOME	SOME	FALSE	pennacchio2006evolution			endoparasitic, ectoparasitic, predator		
TRUE	Figitidae	Figitidae	family	Hymenoptera	TRUE	TRUE	FALSE	csiro1991insects					
TRUE	Gasteruptiidae	Gasteruptiidae	family	Hymenoptera	TRUE	FALSE	FALSE	eggleton1992insect, pennacchio2006evolution	kleptoparasitic		ectoparasitic, kleptoparasitic		
FALSE	Tenedipes varus	Goeldichironomus_carus	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
FALSE	Histomerinae	Histomerinae	subfamily	Hymenoptera	TRUE	SOME	FALSE	gauld1988evolutionary				most ectoparasitic	
FALSE	Hyperechia bomboides	Hyperechia_bomboides	species	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Ibaliidae	Ibaliidae	family	Hymenoptera	TRUE	TRUE	FALSE	csiro1991insects					
TRUE	Ichneumonidae	Ichneumonidae	family	Hymenoptera	TRUE	SOME	FALSE	eggleton1992insect	some ectoparasitic				
TRUE	Ichneumoninae	Ichneumoninae	subfamily	Hymenoptera	TRUE	SOME	FALSE	gauld1988evolutionary				some endoparasitic	
TRUE	Ichneumonoidea	Ichneumonoidea	superfamily	Hymenoptera	TRUE	SOME	FALSE	pennacchio2006evolution			endoparasitic, ectoparasitic		
FALSE	Labeninae	Labeninae	subfamily	Hymenoptera	TRUE	SOME	FALSE	gauld1988evolutionary				some ectoparasitic	
FALSE	Lebia	Lebia	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Leucospidae	Leucospidae	family	Hymenoptera	TRUE	FALSE	FALSE	eggleton1992insect, noyes2003universal	ectoparasitic				all ectoparasitic
FALSE	Lophorus	Lophorus	genus	Coleoptera	TRUE	FALSE	FALSE	eggleton1992insect	all ectoparasitic				
TRUE	Lucilia	Lucilia	genus	Diptera	TRUE	FALSE	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Macrocentrinae	Macrocentrinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
TRUE	Maxfischeriinae	Maxfischeriinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
FALSE	Megalyroidea	Megalyroidea	superfamily	Hymenoptera	TRUE	FALSE	FALSE	pennacchio2006evolution			all ectoparasitic		
TRUE	Megaselia 	Megaselia	genus	Diptera	SOME	SOME	FALSE	eggleton1992insect	all endoparasitic - eggs laid externally				
TRUE	Megastigminae	Megastigminae	subfamily	Hymenoptera	SOME	FALSE	FALSE	noyes2003universal					few ectoparasitic
TRUE	Megastigmus	Megastigmus	genus	Hymenoptera	FALSE	FALSE	FALSE	noyes2003universal					all phytophagous
TRUE	Mesochorinae	Mesochorinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				endoparasitic	
TRUE	Meteorinae	Meteorinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
TRUE	Microgastrinae	Microgastrinae	subfamily	Hymenoptera	TRUE	TRUE	FALSE	gauld1988evolutionary				other subfamily in egg database - assuming status based on taxonomic position	
